ds,y
2015/1/4,2254
2015/1/11,2224
2015/1/18,2432
2015/1/25,2244
2015/2/1,1968
2015/2/8,1910
2015/2/15,2196
2015/2/22,2354
2015/3/1,2259
2015/3/8,2349
2015/3/15,2123
2015/3/22,1887
2015/3/29,1761
2015/4/5,1780
2015/4/12,2208
2015/4/19,2209
2015/4/26,1825
2015/5/3,1024
2015/5/10,1766
2015/5/17,1882
2015/5/24,1911
2015/5/31,1836
2015/6/7,1957
2015/6/14,1737
2015/6/21,1679
2015/6/28,1511
2015/7/5,1493
2015/7/12,1263
2015/7/19,982
2015/7/26,1065
2015/8/2,924
2015/8/9,580
2015/8/16,788
2015/8/23,839
2015/8/30,982
2015/9/6,969
2015/9/13,972
2015/9/20,517
2015/9/27,909
2015/10/4,917
2015/10/11,867
2015/10/18,1189
2015/10/25,1359
2015/11/1,1397
2015/11/8,1871
2015/11/15,2063
2015/11/22,1974
2015/11/29,3117
2015/12/6,3734
2015/12/13,3957
2015/12/20,3381
2015/12/27,1176
2016/1/3,2142
2016/1/10,2253
2016/1/17,2275
2016/1/24,2307
2016/1/31,2203
2016/2/7,1843
2016/2/14,1889
2016/2/21,1762
2016/2/28,1821
2016/3/6,1694
2016/3/13,1591
2016/3/20,1303
2016/3/27,1337
2016/4/3,1259
2016/4/10,1527
2016/4/17,1782
2016/4/24,1403
2016/5/1,1057
2016/5/8,1441
2016/5/15,1678
2016/5/22,1814
2016/5/29,1779
2016/6/5,1913
2016/6/12,1730
2016/6/19,1575
2016/6/26,1537
2016/7/3,1442
2016/7/10,1390
2016/7/17,1045
2016/7/24,1197
2016/7/31,1142
2016/8/7,802
2016/8/14,718
2016/8/21,855
2016/8/28,1092
2016/9/4,1198
2016/9/11,1124
2016/9/18,942
2016/9/25,1089
2016/10/2,1170
2016/10/9,1052
2016/10/16,1338
2016/10/23,1681
2016/10/30,2486
2016/11/6,3671
2016/11/13,5322
2016/11/20,5154
2016/11/27,6997
2016/12/4,7164
2016/12/11,7380
2016/12/18,5368
2016/12/25,2505
2017/1/1,1083
2017/1/8,1667
2017/1/15,1786
2017/1/22,1608
2017/1/29,1453
2017/2/5,1370
2017/2/12,1689
2017/2/19,1744
2017/2/26,1859
2017/3/5,1898
2017/3/12,2104
2017/3/19,1758
2017/3/26,1821
2017/4/2,1882
2017/4/9,2093
2017/4/16,2226
2017/4/23,2117
2017/4/30,1532
2017/5/7,2051
2017/5/14,2158
2017/5/21,2022
2017/5/28,1939
2017/6/4,1841
2017/6/11,1920
2017/6/18,1794
2017/6/25,1633
2017/7/2,1404
2017/7/9,1432
2017/7/16,1080
2017/7/23,1089
2017/7/30,1020
2017/8/6,780
2017/8/13,644
2017/8/20,796
2017/8/27,872
2017/9/3,907
2017/9/10,931
2017/9/17,710
2017/9/24,856
2017/10/1,895
2017/10/8,755
2017/10/15,1015
2017/10/22,1058
2017/10/29,1174
2017/11/5,1384
2017/11/12,1787
2017/11/19,2063
2017/11/26,2771
2017/12/3,3302
2017/12/10,3374
2017/12/17,3324
2017/12/24,2510
2017/12/31,763
2018/1/7,1676
2018/1/14,1844
2018/1/21,1426
2018/1/28,1518
2018/2/4,1313
2018/2/11,1096
2018/2/18,1290
2018/2/25,1321
2018/3/4,1235
2018/3/11,1369
2018/3/18,1179
2018/3/25,1184
2018/4/1,1217
2018/4/8,1369
2018/4/15,1715
2018/4/22,1777
2018/4/29,840
2018/5/6,1822
2018/5/13,2067
2018/5/20,2017
2018/5/27,1925
2018/6/3,1988
2018/6/10,1742
2018/6/17,1787
2018/6/24,1674
2018/7/1,1467
2018/7/8,1401
2018/7/15,1063
2018/7/22,1104
2018/7/29,1013
2018/8/5,832
2018/8/12,559
2018/8/19,832
2018/8/26,911
2018/9/2,1114
2018/9/9,1009
2018/9/16,902
2018/9/23,891
2018/9/30,1073
2018/10/7,956
2018/10/14,1153
2018/10/21,1338
2018/10/28,1339
2018/11/4,1791
2018/11/11,2058
2018/11/18,2013
2018/11/25,2838
2018/12/2,3151
2018/12/9,3319
2018/12/16,3573
2018/12/23,2428
2018/12/30,581
2019/1/6,2365
2019/1/13,1958
2019/1/20,2067
2019/1/27,1981
2019/2/3,1819
2019/2/10,1453
2019/2/17,1888
2019/2/24,1855
2019/3/3,1836
2019/3/10,1775
2019/3/17,1591
2019/3/24,1526
2019/3/31,1578
2019/4/7,1952
2019/4/14,2461
2019/4/21,2574
2019/4/28,470
2019/5/5,1562
2019/5/12,2104
2019/5/19,1953
2019/5/26,2000
2019/6/2,1732
2019/6/9,1607
2019/6/16,1661
2019/6/23,1544
2019/6/30,1536
2019/7/7,1362
2019/7/14,1074
2019/7/21,1107
2019/7/28,900
2019/8/4,793
2019/8/11,389
2019/8/18,835
2019/8/25,872
2019/9/1,1007
2019/9/8,905
2019/9/15,749
2019/9/22,788
2019/9/29,908
2019/10/6,809
2019/10/13,765
2019/10/20,887
2019/10/27,990
2019/11/3,986
2019/11/10,1312
2019/11/17,1413
2019/11/24,1711
2019/12/1,1922
2019/12/8,2186
2019/12/15,2639
2019/12/22,2683
2019/12/29,256
2020/1/5,2104
2020/1/12,2065
2020/1/19,2402
2020/1/26,2243
2020/2/2,2117
2020/2/9,1863
2020/2/16,1802
2020/2/23,1294
2020/3/1,1070
2020/3/8,867
2020/3/15,664
2020/3/22,655
2020/3/29,537
2020/4/5,411
2020/4/12,257
2020/4/19,242
2020/4/26,227
2020/5/3,173
2020/5/10,291
2020/5/17,262
2020/5/24,319
2020/5/31,367
2020/6/7,489
2020/6/14,516
2020/6/21,574
2020/6/28,663
2020/7/5,740
2020/7/12,765
2020/7/19,567
2020/7/26,670
2020/8/2,519
2020/8/9,287
2020/8/16,491
2020/8/23,535
2020/8/30,598
2020/9/6,588
2020/9/13,561
2020/9/20,438
2020/9/27,507
2020/10/4,529
2020/10/11,578
2020/10/18,551
2020/10/25,557
2020/11/1,590
2020/11/8,615
2020/11/15,729
2020/11/22,615
2020/11/29,617
2020/12/6,729
2020/12/13,848
2020/12/20,791
2020/12/27,291
2021/1/3,606
2021/1/10,728
2021/1/17,852
2021/1/24,835
2021/1/31,773
2021/2/7,687
2021/2/14,721
2021/2/21,624
2021/2/28,724
2021/3/7,704
2021/3/14,601
2021/3/21,661
2021/3/28,620
2021/4/4,662
2021/4/11,826
2021/4/18,1014
2021/4/25,999
2021/5/2,520
2021/5/9,1147
2021/5/16,1129
2021/5/23,1058
2021/5/30,1101
2021/6/6,1052
2021/6/13,1106
2021/6/20,1003
2021/6/27,949
2021/7/4,888
2021/7/11,874
2021/7/18,559
2021/7/25,574
2021/8/1,546
2021/8/8,328
2021/8/15,423
2021/8/22,520
2021/8/29,567
2021/9/5,598
2021/9/12,665
2021/9/19,503
2021/9/26,604
2021/10/3,618
2021/10/10,666
2021/10/17,679
2021/10/24,751
2021/10/31,727
2021/11/7,953
2021/11/14,1193
2021/11/21,1276
2021/11/28,1635
2021/12/5,2021
2021/12/12,2117
2021/12/19,2272
2021/12/26,1141
2022/1/2,1245
2022/1/9,1926
2022/1/16,2530
2022/1/23,2147
2022/1/30,1617
2022/2/6,1265
2022/2/13,1244
2022/2/20,1002
2022/2/27,1111
2022/3/6,1021
2022/3/13,1007
2022/3/20,820
2022/3/27,834
2022/4/3,891
2022/4/10,1159
2022/4/17,1371
2022/4/24,1129
2022/5/1,788
2022/5/8,1337
2022/5/15,1599
2022/5/22,1617
2022/5/29,1611
2022/6/5,1791
2022/6/12,1918
2022/6/19,1710
2022/6/26,1441
2022/7/3,1435
2022/7/10,1289
2022/7/17,795
2022/7/24,706
2022/7/31,544
2022/8/7,419
2022/8/14,377
2022/8/21,504
2022/8/28,571
2022/9/4,617
2022/9/11,646
2022/9/18,449
2022/9/25,587
2022/10/2,633
2022/10/9,676
2022/10/16,806
2022/10/23,860
2022/10/30,924
2022/11/6,1103
2022/11/13,1480
2022/11/20,1431
2022/11/27,1746
2022/12/4,1969
2022/12/11,2496
2022/12/18,2777
2022/12/25,1738
2023/1/1,1212
2023/1/8,2167
2023/1/15,2796
2023/1/22,2337
2023/1/29,2269
2023/2/5,1749
2023/2/12,1835
2023/2/19,1464
2023/2/26,1391
2023/3/5,1372
2023/3/12,1278
2023/3/19,1049
2023/3/26,898
2023/4/2,954
2023/4/9,1130
2023/4/16,1354
2023/4/23,1348
2023/4/30,1027
2023/5/7,1532
2023/5/14,1937
2023/5/21,1955
2023/5/28,2013
2023/6/4,1799
2023/6/11,1743
2023/6/18,1510
2023/6/25,1262
2023/7/2,1164
2023/7/9,1172
2023/7/16,872
2023/7/23,966
2023/7/30,874
2023/8/6,696
2023/8/13,614
2023/8/20,834
2023/8/27,955
2023/9/3,964
2023/9/10,990
2023/9/17,717
2023/9/24,934
2023/10/1,822
2023/10/8,749
2023/10/15,949
2023/10/22,962
2023/10/29,967
2023/11/5,1132
2023/11/12,1459
2023/11/19,1420
2023/11/26,1876
2023/12/3,2325
2023/12/10,2676
2023/12/17,2824
2023/12/24,2386
2023/12/31,911
2024/1/7,2056
2024/1/14,2785
2024/1/21,2805
2024/1/28,2488
2024/2/4,2113
2024/2/11,1611
2024/2/18,1492
2024/2/25,1468
2024/3/3,1408
2024/3/10,1395
2024/3/17,1096
2024/3/24,1109
2024/3/31,1010
2024/4/7,1031
2024/4/14,1183
2024/4/21,1284
2024/4/28,694
2024/5/5,1012
2024/5/12,1317
2024/5/19,1246
2024/5/26,1258
2024/6/2,1284
2024/6/9,1330
2024/6/16,1177
2024/6/23,1093
2024/6/30,1071
2024/7/7,990
2024/7/14,775
2024/7/21,760
2024/7/28,737
2024/8/4,763
2024/8/11,398
2024/8/18,640
2024/8/25,730
2024/9/1,839
2024/9/8,839
2024/9/15,729
2024/9/22,678
2024/9/29,730
2024/10/6,698
2024/10/13,666
2024/10/20,723
2024/10/27,743
2024/11/3,650
2024/11/10,971
2024/11/17,861
2024/11/24,1186
2024/12/1,1372
2024/12/8,1530
2024/12/15,1783
2024/12/22,1747
2024/12/29,174
2025/1/5,1515
2025/1/12,1572
2025/1/19,2097
2025/1/26,2276
2025/2/2,2643
2025/2/9,2694
2025/2/16,3530
2025/2/23,3441
2025/3/2,3357
2025/3/9,3312
2025/3/16,2823
2025/3/23,2070
2025/3/30,1659
2025/4/6,2057
2025/4/13,2007
2025/4/20,2280
2025/4/27,1709
2025/5/4,1515
2025/5/11,1983
2025/5/18,2027
2025/5/25,1729
2025/6/1,1783
2025/6/8,1680
2025/6/15,1678
2025/6/22,1574
2025/6/29,1583
2025/7/6,1621
2025/7/13,1653
2025/7/20,1287
2025/7/27,1428
2025/8/3,1183
