ds,y
2014/1/5,1598
2014/1/12,1388
2014/1/19,1908
2014/1/26,1441
2014/2/2,988
2014/2/9,754
2014/2/16,486
2014/2/23,405
2014/3/2,179
2014/3/9,95
2014/3/16,89
2014/3/23,27
2014/3/30,20
2014/4/6,23
2014/4/13,13
2014/4/20,27
2014/4/27,27
2014/5/4,8
2014/5/11,15
2014/5/18,25
2014/5/25,18
2014/6/1,24
2014/6/8,13
2014/6/15,15
2014/6/22,7
2014/6/29,6
2014/7/6,18
2014/7/13,14
2014/7/20,7
2014/7/27,5
2014/8/3,14
2014/8/10,4
2014/8/17,5
2014/8/24,7
2014/8/31,17
2014/9/7,19
2014/9/14,28
2014/9/21,20
2014/9/28,27
2014/10/5,41
2014/10/12,25
2014/10/19,53
2014/10/26,33
2014/11/2,44
2014/11/9,107
2014/11/16,143
2014/11/23,172
2014/11/30,219
2014/12/7,301
2014/12/14,451
2014/12/21,665
2014/12/28,576
2015/1/4,1770
2015/1/11,4141
2015/1/18,10233
2015/1/25,13378
2015/2/1,11899
2015/2/8,8510
2015/2/15,6872
2015/2/22,6867
2015/3/1,5602
2015/3/8,6730
2015/3/15,6316
2015/3/22,4037
2015/3/29,3192
2015/4/5,1928
2015/4/12,2098
2015/4/19,2253
2015/4/26,1656
2015/5/3,566
2015/5/10,308
2015/5/17,202
2015/5/24,94
2015/5/31,38
2015/6/7,34
2015/6/14,11
2015/6/21,11
2015/6/28,9
2015/7/5,15
2015/7/12,3
2015/7/19,3
2015/7/26,3
2015/8/2,7
2015/8/9,9
2015/8/16,2
2015/8/23,2
2015/8/30,1
2015/9/6,7
2015/9/13,10
2015/9/20,8
2015/9/27,6
2015/10/4,7
2015/10/11,27
2015/10/18,15
2015/10/25,18
2015/11/1,12
2015/11/8,23
2015/11/15,36
2015/11/22,29
2015/11/29,35
2015/12/6,102
2015/12/13,190
2015/12/20,291
2015/12/27,324
2016/1/3,387
2016/1/10,1348
2016/1/17,6146
2016/1/24,13473
2016/1/31,18939
2016/2/7,18224
2016/2/14,17200
2016/2/21,13963
2016/2/28,11006
2016/3/6,9327
2016/3/13,6641
2016/3/20,4952
2016/3/27,3414
2016/4/3,1881
2016/4/10,1585
2016/4/17,1284
2016/4/24,809
2016/5/1,197
2016/5/8,147
2016/5/15,91
2016/5/22,57
2016/5/29,42
2016/6/5,38
2016/6/12,10
2016/6/19,5
2016/6/26,3
2016/7/3,4
2016/7/10,21
2016/7/17,9
2016/7/24,6
2016/7/31,5
2016/8/7,5
2016/8/14,4
2016/8/21,11
2016/8/28,9
2016/9/4,43
2016/9/11,43
2016/9/18,27
2016/9/25,15
